i,x,y,lon,lat,muni_code,muni_name,zone_id,zone_name
0,0,0,138.95,35.82,,,-1,
1,1,0,138.961807,35.82,,,-1,
2,2,0,138.973614,35.82,13308,奥多摩町,0,西多摩
3,3,0,138.985422,35.82,13308,奥多摩町,0,西多摩
4,4,0,138.997229,35.82,13308,奥多摩町,0,西多摩
5,5,0,139.009036,35.82,13308,奥多摩町,0,西多摩
6,6,0,139.020843,35.82,13308,奥多摩町,0,西多摩
7,7,0,139.032651,35.82,13308,奥多摩町,0,西多摩
8,8,0,139.044458,35.82,13308,奥多摩町,0,西多摩
9,9,0,139.056265,35.82,13308,奥多摩町,0,西多摩
10,10,0,139.068072,35.82,13308,奥多摩町,0,西多摩
11,11,0,139.07988,35.82,13308,奥多摩町,0,西多摩
12,12,0,139.091687,35.82,13308,奥多摩町,0,西多摩
13,13,0,139.103494,35.82,13308,奥多摩町,0,西多摩
14,14,0,139.115301,35.82,13308,奥多摩町,0,西多摩
15,15,0,139.127108,35.82,13308,奥多摩町,0,西多摩
16,16,0,139.138916,35.82,13308,奥多摩町,0,西多摩
17,17,0,139.150723,35.82,13308,奥多摩町,0,西多摩
18,18,0,139.16253,35.82,13308,奥多摩町,0,西多摩
19,19,0,139.174337,35.82,13308,奥多摩町,0,西多摩
20,20,0,139.186145,35.82,13205,青梅市,0,西多摩
21,21,0,139.197952,35.82,13205,青梅市,0,西多摩
22,22,0,139.209759,35.82,13205,青梅市,0,西多摩
23,23,0,139.221566,35.82,13205,青梅市,0,西多摩
24,24,0,139.233373,35.82,13205,青梅市,0,西多摩
25,25,0,139.245181,35.82,13205,青梅市,0,西多摩
26,26,0,139.256988,35.82,13205,青梅市,0,西多摩
27,27,0,139.268795,35.82,13205,青梅市,0,西多摩
28,28,0,139.280602,35.82,13205,青梅市,0,西多摩
29,29,0,139.29241,35.82,13205,青梅市,0,西多摩
30,30,0,139.304217,35.82,13205,青梅市,0,西多摩
31,31,0,139.316024,35.82,13205,青梅市,0,西多摩
32,32,0,139.327831,35.82,,,-1,
33,33,0,139.339639,35.82,,,-1,
34,34,0,139.351446,35.82,,,-1,
35,35,0,139.363253,35.82,,,-1,
36,36,0,139.37506,35.82,,,-1,
37,37,0,139.386867,35.82,,,-1,
38,38,0,139.398675,35.82,,,-1,
39,39,0,139.410482,35.82,,,-1,
40,40,0,139.422289,35.82,,,-1,
41,41,0,139.434096,35.82,,,-1,
42,42,0,139.445904,35.82,,,-1,
43,43,0,139.457711,35.82,,,-1,
44,44,0,139.469518,35.82,,,-1,
45,45,0,139.481325,35.82,,,-1,
46,46,0,139.493133,35.82,,,-1,
47,47,0,139.50494,35.82,,,-1,
48,48,0,139.516747,35.82,,,-1,
49,49,0,139.528554,35.82,,,-1,
50,50,0,139.540361,35.82,,,-1,
51,51,0,139.552169,35.82,,,-1,
52,52,0,139.563976,35.82,,,-1,
53,53,0,139.575783,35.82,,,-1,
54,54,0,139.58759,35.82,,,-1,
55,55,0,139.599398,35.82,,,-1,
56,56,0,139.611205,35.82,,,-1,
57,57,0,139.623012,35.82,,,-1,
58,58,0,139.634819,35.82,,,-1,
59,59,0,139.646627,35.82,,,-1,
60,60,0,139.658434,35.82,,,-1,
61,61,0,139.670241,35.82,,,-1,
62,62,0,139.682048,35.82,,,-1,
63,63,0,139.693855,35.82,,,-1,
64,64,0,139.705663,35.82,,,-1,
65,65,0,139.71747,35.82,,,-1,
66,66,0,139.729277,35.82,,,-1,
67,67,0,139.741084,35.82,,,-1,
68,68,0,139.752892,35.82,,,-1,
69,69,0,139.764699,35.82,,,-1,
70,70,0,139.776506,35.82,,,-1,
71,71,0,139.788313,35.82,,,-1,
72,72,0,139.80012,35.82,,,-1,
73,73,0,139.811928,35.82,,,-1,
74,74,0,139.823735,35.82,,,-1,
75,75,0,139.835542,35.82,,,-1,
76,76,0,139.847349,35.82,,,-1,
77,77,0,139.859157,35.82,,,-1,
78,78,0,139.870964,35.82,,,-1,
79,79,0,139.882771,35.82,,,-1,
80,80,0,139.894578,35.82,,,-1,
81,81,0,139.906386,35.82,,,-1,
82,82,0,139.918193,35.82,,,-1,
83,83,0,139.93,35.82,,,-1,
84,0,1,138.95,35.8084,,,-1,
85,1,1,138.961807,35.8084,,,-1,
86,2,1,138.973614,35.8084,13308,奥多摩町,0,西多摩
87,3,1,138.985422,35.8084,13308,奥多摩町,0,西多摩
88,4,1,138.997229,35.8084,13308,奥多摩町,0,西多摩
89,5,1,139.009036,35.8084,13308,奥多摩町,0,西多摩
90,6,1,139.020843,35.8084,13308,奥多摩町,0,西多摩
91,7,1,139.032651,35.8084,13308,奥多摩町,0,西多摩
92,8,1,139.044458,35.8084,13308,奥多摩町,0,西多摩
93,9,1,139.056265,35.8084,13308,奥多摩町,0,西多摩
94,10,1,139.068072,35.8084,13308,奥多摩町,0,西多摩
95,11,1,139.07988,35.8084,13308,奥多摩町,0,西多摩
96,12,1,139.091687,35.8084,13308,奥多摩町,0,西多摩
97,13,1,139.103494,35.8084,13308,奥多摩町,0,西多摩
98,14,1,139.115301,35.8084,13308,奥多摩町,0,西多摩
99,15,1,139.127108,35.8084,13308,奥多摩町,0,西多摩
100,16,1,139.138916,35.8084,13308,奥多摩町,0,西多摩
101,17,1,139.150723,35.8084,13308,奥多摩町,0,西多摩
102,18,1,139.16253,35.8084,13308,奥多摩町,0,西多摩
103,19,1,139.174337,35.8084,13308,奥多摩町,0,西多摩
104,20,1,139.186145,35.8084,13205,青梅市,0,西多摩
105,21,1,139.197952,35.8084,13205,青梅市,0,西多摩
106,22,1,139.209759,35.8084,13205,青梅市,0,西多摩
107,23,1,139.221566,35.8084,13205,青梅市,0,西多摩
108,24,1,139.233373,35.8084,13205,青梅市,0,西多摩
109,25,1,139.245181,35.8084,13205,青梅市,0,西多摩
110,26,1,139.256988,35.8084,13205,青梅市,0,西多摩
111,27,1,139.268795,35.8084,13205,青梅市,0,西多摩
112,28,1,139.280602,35.8084,13205,青梅市,0,西多摩
113,29,1,139.29241,35.8084,13205,青梅市,0,西多摩
114,30,1,139.304217,35.8084,13205,青梅市,0,西多摩
115,31,1,139.316024,35.8084,13205,青梅市,0,西多摩
116,32,1,139.327831,35.8084,,,-1,
117,33,1,139.339639,35.8084,,,-1,
118,34,1,139.351446,35.8084,,,-1,
119,35,1,139.363253,35.8084,,,-1,
120,36,1,139.37506,35.8084,,,-1,
121,37,1,139.386867,35.8084,,,-1,
122,38,1,139.398675,35.8084,,,-1,
123,39,1,139.410482,35.8084,,,-1,
124,40,1,139.422289,35.8084,,,-1,
125,41,1,139.434096,35.8084,,,-1,
126,42,1,139.445904,35.8084,,,-1,
127,43,1,139.457711,35.8084,,,-1,
128,44,1,139.469518,35.8084,,,-1,
129,45,1,139.481325,35.8084,,,-1,
130,46,1,139.493133,35.8084,,,-1,
131,47,1,139.50494,35.8084,,,-1,
132,48,1,139.516747,35.8084,,,-1,
133,49,1,139.528554,35.8084,,,-1,
134,50,1,139.540361,35.8084,,,-1,
135,51,1,139.552169,35.8084,,,-1,
136,52,1,139.563976,35.8084,,,-1,
137,53,1,139.575783,35.8084,,,-1,
138,54,1,139.58759,35.8084,,,-1,
139,55,1,139.599398,35.8084,,,-1,
140,56,1,139.611205,35.8084,,,-1,
141,57,1,139.623012,35.8084,,,-1,
142,58,1,139.634819,35.8084,,,-1,
143,59,1,139.646627,35.8084,,,-1,
144,60,1,139.658434,35.8084,,,-1,
145,61,1,139.670241,35.8084,,,-1,
146,62,1,139.682048,35.8084,,,-1,
147,63,1,139.693855,35.8084,,,-1,
148,64,1,139.705663,35.8084,,,-1,
149,65,1,139.71747,35.8084,,,-1,
150,66,1,139.729277,35.8084,,,-1,
