code,name,zone,vac_rate,dwellings,vacant,neg_frac,pop,pop_delta,natural,social_net,natural_rate,social_rate,aging_rate,elderly,effective_max_man,vac_imputed,copy_vac,copy_aging,copy_pop
13228,あきる野市,西多摩,0.108875,36280,3950,0.394937,78244,-269,-788,393,-0.010054,0.005014,0.306471,24286,60,False,およそ30軒に3軒が空き家（空き家率 10.9%）,住民のうちおよそ30.6%が65歳以上,自然減（-788人／年）、転入超過（+393人／年）
13204,三鷹市,多摩東部,0.107582,108940,11720,0.233788,195826,538,-670,888,-0.003426,0.004541,0.222292,42346,60,False,およそ30軒に3軒が空き家（空き家率 10.8%）,住民のうちおよそ22.2%が65歳以上,自然減（-670人／年）、転入超過（+888人／年）
13112,世田谷区,区部西,0.108780,541000,58850,0.405098,944617,5069,-1827,4647,-0.001939,0.004933,0.205899,190088,60,False,およそ30軒に3軒が空き家（空き家率 10.9%）,住民のうちおよそ20.6%が65歳以上,"自然減（-1,827人／年）、転入超過（+4,647人／年）"
13102,中央区,都心,0.110493,106070,11720,0.461604,186460,10569,873,8427,0.004819,0.046513,0.142414,26689,110,False,およそ30軒に3軒が空き家（空き家率 11.0%）,住民のうちおよそ14.2%が65歳以上,"自然増（+873人／年）、転入超過（+8,427人／年）"
13114,中野区,区部西,0.121143,236250,28620,0.067086,351148,3945,-910,1697,-0.002606,0.004860,0.195522,66736,210,False,およそ30軒に4軒が空き家（空き家率 12.1%）,住民のうちおよそ19.6%が65歳以上,"自然減（-910人／年）、転入超過（+1,697人／年）"
13201,八王子市,多摩中部,0.110884,303470,33650,0.234770,576566,-1609,-4117,1571,-0.007131,0.002721,0.279815,156440,110,False,およそ30軒に3軒が空き家（空き家率 11.1%）,住民のうちおよそ28.0%が65歳以上,"自然減（-4,117人／年）、転入超過（+1,571人／年）"
13117,北区,区部西,0.119011,213930,25460,0.166143,363736,4388,-1497,2711,-0.004141,0.007498,0.232313,84118,60,False,およそ30軒に4軒が空き家（空き家率 11.9%）,住民のうちおよそ23.2%が65歳以上,"自然減（-1,497人／年）、転入超過（+2,711人／年）"
13101,千代田区,都心,0.125563,42210,5300,0.109434,68473,80,58,-429,0.000848,-0.006269,0.167400,11523,60,False,およそ30軒に4軒が空き家（空き家率 12.6%）,住民のうちおよそ16.7%が65歳以上,自然増（+58人／年）、転出超過（-429人／年）
13106,台東区,城東,0.104594,147140,15390,0.656920,224407,3696,-609,2036,-0.002736,0.009148,0.205767,44463,110,False,およそ30軒に3軒が空き家（空き家率 10.5%）,住民のうちおよそ20.6%が65歳以上,"自然減（-609人／年）、転入超過（+2,036人／年）"
13109,品川区,区部西,0.100812,264650,26680,0.211019,427745,4506,-445,3916,-0.001046,0.009203,0.195845,80842,110,False,およそ30軒に3軒が空き家（空き家率 10.1%）,住民のうちおよそ19.6%が65歳以上,"自然減（-445人／年）、転入超過（+3,916人／年）"
13214,国分寺市,多摩中部,0.094265,72880,6870,0.131004,132310,738,-378,894,-0.002865,0.006776,0.221181,28643,80,False,およそ30軒に3軒が空き家（空き家率 9.4%）,住民のうちおよそ22.1%が65歳以上,自然減（-378人／年）、転入超過（+894人／年）
13215,国立市,多摩中部,0.134851,45680,6160,0.128247,76706,190,-416,496,-0.005430,0.006474,0.245008,18640,60,False,およそ30軒に4軒が空き家（空き家率 13.5%）,住民のうちおよそ24.5%が65歳以上,自然減（-416人／年）、転入超過（+496人／年）
13107,墨田区,城東,0.117458,174530,20500,0.184390,283736,2747,-653,1672,-0.002313,0.005921,0.206417,59304,210,False,およそ30軒に4軒が空き家（空き家率 11.7%）,住民のうちおよそ20.6%が65歳以上,"自然減（-653人／年）、転入超過（+1,672人／年）"
13224,多摩市,多摩中部,0.117031,79210,9270,0.195254,146429,308,-941,1018,-0.006433,0.006959,0.293617,43480,60,False,およそ30軒に4軒が空き家（空き家率 11.7%）,住民のうちおよそ29.4%が65歳以上,"自然減（-941人／年）、転入超過（+1,018人／年）"
13111,大田区,城東,0.108271,451460,48880,0.189444,752128,6885,-2857,7309,-0.003816,0.009762,0.221557,164067,85,False,およそ30軒に3軒が空き家（空き家率 10.8%）,住民のうちおよそ22.2%が65歳以上,"自然減（-2,857人／年）、転入超過（+7,309人／年）"
13308,奥多摩町,西多摩,0.152000,0,0,,4233,-111,-171,58,-0.039874,0.013525,0.532947,2394,60,True,およそ30軒に5軒が空き家（空き家率 15.2%）,住民のうちおよそ53.3%が65歳以上,自然減（-171人／年）、転入超過（+58人／年）
13211,小平市,多摩中部,0.109245,100600,10990,0.228389,200418,-114,-893,409,-0.004454,0.002040,0.238975,47030,60,False,およそ30軒に3軒が空き家（空き家率 10.9%）,住民のうちおよそ23.9%が65歳以上,自然減（-893人／年）、転入超過（+409人／年）
13210,小金井市,多摩東部,0.104062,71400,7430,0.279946,127821,560,-255,551,-0.001999,0.004320,0.217353,27207,60,False,およそ30軒に3軒が空き家（空き家率 10.4%）,住民のうちおよそ21.7%が65歳以上,自然減（-255人／年）、転入超過（+551人／年）
13206,府中市,多摩東部,0.129714,142390,18470,0.268544,263464,920,-1028,1247,-0.003909,0.004741,0.225871,58952,60,False,およそ30軒に4軒が空き家（空き家率 13.0%）,住民のうちおよそ22.6%が65歳以上,"自然減（-1,028人／年）、転入超過（+1,247人／年）"
13105,文京区,都心,0.104669,149710,15670,0.438417,248637,3168,-65,1774,-0.000263,0.007181,0.186046,43785,60,False,およそ30軒に3軒が空き家（空き家率 10.5%）,住民のうちおよそ18.6%が65歳以上,"自然減（-65人／年）、転入超過（+1,774人／年）"
13104,新宿区,都心,0.111788,261030,29180,0.046265,357523,3491,-919,-3533,-0.002583,-0.009930,0.189123,66707,60,False,およそ30軒に3軒が空き家（空き家率 11.2%）,住民のうちおよそ18.9%が65歳以上,"自然減（-919人／年）、転出超過（-3,533人／年）"
13305,日の出町,西多摩,0.069382,6630,460,0.717391,16425,-239,-358,80,-0.021639,0.004835,0.366166,5881,60,False,およそ30軒に2軒が空き家（空き家率 6.9%）,住民のうちおよそ36.6%が65歳以上,自然減（-358人／年）、転入超過（+80人／年）
13212,日野市,多摩中部,0.107237,102110,10950,0.298630,191920,983,-945,1619,-0.004937,0.008457,0.247457,46640,60,False,およそ30軒に3軒が空き家（空き家率 10.7%）,住民のうちおよそ24.7%が65歳以上,"自然減（-945人／年）、転入超過（+1,619人／年）"
13207,昭島市,多摩中部,0.119204,60820,7250,0.153103,115992,1116,-617,1169,-0.005345,0.010127,0.263543,30474,60,False,およそ30軒に4軒が空き家（空き家率 11.9%）,住民のうちおよそ26.4%が65歳以上,"自然減（-617人／年）、転入超過（+1,169人／年）"
13115,杉並区,区部西,0.095411,365470,34870,0.181531,593546,4304,-1666,3232,-0.002817,0.005465,0.209321,120809,160,False,およそ30軒に3軒が空き家（空き家率 9.5%）,住民のうちおよそ20.9%が65歳以上,"自然減（-1,666人／年）、転入超過（+3,232人／年）"
13222,東久留米市,多摩中部,0.101930,57000,5810,0.311532,114635,-187,-827,525,-0.007208,0.004576,0.288803,33595,60,False,およそ30軒に3軒が空き家（空き家率 10.2%）,住民のうちおよそ28.9%が65歳以上,自然減（-827人／年）、転入超過（+525人／年）
13220,東大和市,多摩中部,0.110629,41490,4590,0.246187,83592,-89,-561,423,-0.006708,0.005058,0.277354,23574,60,False,およそ30軒に3軒が空き家（空き家率 11.1%）,住民のうちおよそ27.7%が65歳以上,自然減（-561人／年）、転入超過（+423人／年）
13213,東村山市,多摩中部,0.098908,76940,7610,0.228647,152132,44,-984,760,-0.006469,0.004996,0.272209,41320,60,False,およそ30軒に3軒が空き家（空き家率 9.9%）,住民のうちおよそ27.2%が65歳以上,自然減（-984人／年）、転入超過（+760人／年）
