code,name,zone,total,vacant,vac_rate,imputed
13228,あきる野市,西多摩,36280,3950,0.108875,0
13204,三鷹市,多摩東部,108940,11720,0.107582,0
13112,世田谷区,区部西,541000,58850,0.108780,0
13102,中央区,都心,106070,11720,0.110493,0
13114,中野区,区部西,236250,28620,0.121143,0
13201,八王子市,多摩中部,303470,33650,0.110884,0
13117,北区,区部西,213930,25460,0.119011,0
13101,千代田区,都心,42210,5300,0.125563,0
13106,台東区,城東,147140,15390,0.104594,0
13109,品川区,区部西,264650,26680,0.100812,0
13214,国分寺市,多摩中部,72880,6870,0.094265,0
13215,国立市,多摩中部,45680,6160,0.134851,0
13107,墨田区,城東,174530,20500,0.117458,0
13224,多摩市,多摩中部,79210,9270,0.117031,0
13111,大田区,城東,451460,48880,0.108271,0
,奥多摩町,西多摩,0,0,0.152000,1
13211,小平市,多摩中部,100600,10990,0.109245,0
13210,小金井市,多摩東部,71400,7430,0.104062,0
13206,府中市,多摩東部,142390,18470,0.129714,0
13105,文京区,都心,149710,15670,0.104669,0
13104,新宿区,都心,261030,29180,0.111788,0
13305,日の出町,西多摩,6630,460,0.069382,0
13212,日野市,多摩中部,102110,10950,0.107237,0
13207,昭島市,多摩中部,60820,7250,0.119204,0
13115,杉並区,区部西,365470,34870,0.095411,0
13222,東久留米市,多摩中部,57000,5810,0.101930,0
13220,東大和市,多摩中部,41490,4590,0.110629,0
13213,東村山市,多摩中部,76940,7610,0.098908,0
13119,板橋区,区部西,363490,42490,0.116895,0
,檜原村,西多摩,0,0,0.152000,1
13223,武蔵村山市,多摩中部,33300,3070,0.092192,0
13203,武蔵野市,多摩東部,89370,9840,0.110104,0
13123,江戸川区,城東,366170,34130,0.093208,0
13108,江東区,城東,298230,26950,0.090366,0
13221,清瀬市,多摩中部,41530,5660,0.136287,0
13113,渋谷区,区部西,174970,19670,0.112419,0
13103,港区,都心,177980,24360,0.136869,0
13219,狛江市,多摩東部,47200,5330,0.112924,0
13303,瑞穂町,西多摩,14070,1730,0.122957,0
13209,町田市,多摩中部,215630,20220,0.093772,0
13110,目黒区,区部西,170580,18250,0.106988,0
13218,福生市,西多摩,31230,3330,0.106628,0
13225,稲城市,多摩中部,44270,3860,0.087192,0
13202,立川市,多摩中部,102640,12360,0.120421,0
13120,練馬区,区部西,419650,39770,0.094769,0
13227,羽村市,西多摩,27360,2920,0.106725,0
13118,荒川区,城東,131160,16920,0.129003,0
13122,葛飾区,城東,249950,29420,0.117704,0
13229,西東京市,多摩中部,107690,10030,0.093138,0
13208,調布市,多摩東部,135360,13080,0.096631,0
13116,豊島区,区部西,213800,29810,0.139429,0
13121,足立区,城東,402630,43850,0.108909,0
13205,青梅市,西多摩,64280,7520,0.116988,0
