code,name,zone,total,vacant,other_vacant,rent_vacant,sale_vacant,secondary,neg_frac,list_frac,sale_frac,secondary_frac,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13101,千代田区,都心,42210,5300,580,3810,850,60,0.10943396226415095,0.7188679245283018,0.16037735849056603,0.011320754716981131,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13102,中央区,都心,106070,11720,5410,5830,340,130,0.4616040955631399,0.4974402730375427,0.02901023890784983,0.011092150170648464,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13103,港区,都心,177980,24360,2550,19090,2460,260,0.10467980295566502,0.7836617405582923,0.10098522167487685,0.010673234811165846,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13104,新宿区,都心,261030,29180,1350,26720,870,250,0.046264564770390676,0.9156956819739548,0.02981494174091844,0.008567511994516792,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13105,文京区,都心,149710,15670,6870,7860,630,310,0.4384173580089343,0.5015954052329291,0.04020421186981493,0.019783024888321635,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13106,台東区,城東,147140,15390,10110,4650,390,240,0.6569200779727096,0.30214424951267055,0.025341130604288498,0.015594541910331383,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13107,墨田区,城東,174530,20500,3780,15560,1130,20,0.18439024390243902,0.7590243902439024,0.055121951219512196,0.000975609756097561,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13108,江東区,城東,298230,26950,6820,17090,2890,150,0.2530612244897959,0.6341372912801484,0.10723562152133581,0.0055658627087198514,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13109,品川区,区部西,264650,26680,5630,19400,1050,600,0.21101949025487257,0.7271364317841079,0.03935532233883059,0.022488755622188907,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13110,目黒区,区部西,170580,18250,3340,14060,590,270,0.18301369863013697,0.7704109589041096,0.03232876712328767,0.014794520547945205,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13111,大田区,城東,451460,48880,9260,37490,1630,500,0.18944353518821605,0.7669803600654664,0.03334697217675941,0.010229132569558102,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13112,世田谷区,区部西,541000,58850,23840,32750,1810,450,0.40509770603228545,0.556499575191164,0.030756159728122345,0.0076465590484282074,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13113,渋谷区,区部西,174970,19670,980,17000,1690,0,0.0498220640569395,0.8642602948652771,0.08591764107778342,0.0,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13114,中野区,区部西,236250,28620,1920,24690,1860,150,0.06708595387840671,0.8626834381551363,0.0649895178197065,0.005241090146750524,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13115,杉並区,区部西,365470,34870,6330,26430,1450,660,0.18153140235159163,0.7579581301978778,0.04158302265557786,0.01892744479495268,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13116,豊島区,区部西,213800,29810,1830,26150,1700,130,0.06138879570613888,0.8772224085877223,0.05702784300570279,0.004360952700436095,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13117,北区,区部西,213930,25460,4230,17560,3510,160,0.1661429693637078,0.6897093479968578,0.13786331500392773,0.006284367635506678,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13118,荒川区,城東,131160,16920,5230,10740,760,190,0.30910165484633567,0.6347517730496454,0.04491725768321513,0.011229314420803783,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13119,板橋区,区部西,363490,42490,10320,30710,1350,110,0.2428806778065427,0.7227582960696635,0.031772181689809366,0.0025888444339844667,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13120,練馬区,区部西,419650,39770,7950,30950,620,250,0.19989942167462912,0.7782247925572039,0.0155896404324868,0.006286145335680161,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13121,足立区,城東,402630,43850,11070,30280,1820,680,0.2524515393386545,0.6905359179019385,0.04150513112884835,0.015507411630558724,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13122,葛飾区,城東,249950,29420,6010,21230,2130,50,0.20428280081577158,0.721617946974847,0.07239972807613868,0.001699524133242692,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13123,江戸川区,城東,366170,34130,15530,18140,430,40,0.455024904775857,0.5314972165250512,0.01259888661002051,0.0011719894520949312,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13201,八王子市,多摩中部,303470,33650,7900,22090,3190,470,0.23476968796433878,0.6564635958395245,0.09479940564635958,0.013967310549777118,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13202,立川市,多摩中部,102640,12360,2070,9600,470,210,0.16747572815533981,0.7766990291262136,0.03802588996763754,0.01699029126213592,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13203,武蔵野市,多摩東部,89370,9840,3180,6310,150,200,0.3231707317073171,0.641260162601626,0.01524390243902439,0.02032520325203252,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13204,三鷹市,多摩東部,108940,11720,2740,8680,190,110,0.23378839590443687,0.7406143344709898,0.016211604095563138,0.00938566552901024,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13205,青梅市,西多摩,64280,7520,2950,4170,120,270,0.39228723404255317,0.5545212765957447,0.015957446808510637,0.03590425531914894,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
13206,府中市,多摩東部,142390,18470,4960,12900,540,70,0.26854358419057933,0.6984298863021116,0.029236599891716297,0.003789929615592853,令和5年住宅・土地統計調査（2023年10月1日現在）,第1-2表 居住世帯の有無(8区分)別住宅数（市区町村）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040209842,2026-07-13
