地域階層,地域コード,地域,令和7年1月1日現在人口,令和６年中の動き／人口増減,令和６年中の動き／社会増減（他県との移動増減）,令和６年中の動き／社会増減（他県との移動増減）／転入数,令和６年中の動き／社会増減（他県との移動増減）／転出数,令和６年中の動き／都内間の移動増減,令和６年中の動き／都内間の移動増減／転入数,令和６年中の動き／都内間の移動増減／転出数,令和６年中の動き／自然増減,令和６年中の動き／自然増減／出生数,令和６年中の動き／自然増減／死亡数,令和６年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,令和６年1月1日現在人口
0,13000,総数,14195730,90632,76305,460505,384200,-1233,466005,467238,-52416,88657,141073,67976,16825,2199.94,6453 ,14105098
1,13100,区部,9878821,87528,60184,359616,299432,-4317,354319,358636,-27933,65182,93115,59594,24886,627.51,15743 ,9791293
1,13200,市部,4240517,4087,16179,99502,83323,2931,109279,106348,-23242,23158,46400,8219,-6898,783.95,5409 ,4236430
2,13300,郡部,53639,-462,66,738,672,290,1519,1229,-919,195,1114,101,-581,375.86,143 ,54101
2,13350,島部,22753,-521,-124,649,773,-137,888,1025,-322,122,444,62,-582,412.61,55 ,23274
1,13100,区部,9878821,87528,60184,359616,299432,-4317,354319,358636,-27933,65182,93115,59594,24886,627.51,15743 ,9791293
4,13101,千代田区,68473,80,587,2859,2272,-1016,3916,4932,58,547,489,451,-170,11.66,5872 ,68393
4,13102,中央区,186460,10569,3084,8688,5604,5343,14256,8913,873,1955,1082,1269,8386,10.21,18262 ,175891
4,13103,港区,268373,1474,1024,8658,7634,-1875,12343,14218,608,2412,1804,1717,138,20.36,13181 ,266899
4,13104,新宿区,357523,3491,1486,15456,13970,-5019,18961,23980,-919,2107,3026,7943,-709,18.22,19623 ,354032
4,13105,文京区,248637,3168,2092,8828,6736,-318,10805,11123,-65,1796,1861,1459,1281,11.29,22023 ,245469
4,13106,台東区,224407,3696,2182,9919,7737,-146,11600,11746,-609,1567,2176,2269,1849,10.11,22197 ,220711
4,13107,墨田区,283736,2747,2553,12331,9778,-881,12190,13071,-653,2147,2800,1728,1430,13.77,20605 ,280989
4,13108,江東区,539364,2577,3036,18313,15277,-1076,18510,19586,-1045,3732,4777,1662,22,42.99,12546 ,536787
4,13109,品川区,427745,4506,3755,16935,13180,161,15902,15741,-445,3119,3564,1035,2981,22.85,18720 ,423239
4,13110,目黒区,287406,1880,1620,10369,8749,-55,13190,13245,-280,2011,2291,595,949,14.67,19591 ,285526
4,13111,大田区,752128,6885,6284,32486,26202,1025,17931,16906,-2857,4670,7527,2433,3241,61.86,12159 ,745243
4,13112,世田谷区,944617,5069,3973,29871,25898,674,28792,28118,-1827,6000,7827,2249,2404,58.05,16272 ,939548
4,13113,渋谷区,244387,793,1551,7897,6346,-1211,12314,13525,-152,1669,1821,605,17,15.11,16174 ,243594
4,13114,中野区,351148,3945,2984,13935,10951,-1287,17215,18502,-910,2188,3098,3158,526,15.59,22524 ,347203
