地域階層,地域コード,地域,年少人口(0～14歳)／総数(人),年少人口(0～14歳)／男(人),年少人口(0～14歳)／女(人),生産年齢人口(15～64歳)／総数(人),生産年齢人口(15～64歳)／男(人),生産年齢人口(15～64歳)／女(人),老年人口(65歳以上)／総数(人),老年人口(65歳以上)／男(人),老年人口(65歳以上)／女(人)
0,13000,総数,1521973,778959,743014,9332116,4731145,4600971,3148445,1365868,1782577
1,13100,区部,1036147,529660,506487,6648960,3359097,3289863,2045445,883702,1161743
4,13101,千代田区,9083,4624,4459,48229,24933,23296,11523,4945,6578
4,13102,中央区,25758,13015,12743,134957,65330,69627,26689,11272,15417
4,13103,港区,35982,18248,17734,185852,88837,97015,45946,18977,26969
4,13104,新宿区,29641,15121,14520,256369,133408,122961,66707,28841,37866
4,13105,文京区,29652,15109,14543,161908,78566,83342,43785,18344,25441
4,13106,台東区,17668,8967,8701,153953,80667,73286,44463,20313,24150
4,13107,墨田区,27202,13904,13298,200796,101550,99246,59304,25997,33307
4,13108,江東区,64616,33062,31554,364497,183899,180598,112572,48669,63903
4,13109,品川区,46827,23885,22942,285117,143773,141344,80842,34587,46255
4,13110,目黒区,30327,15700,14627,195750,94075,101675,55323,22985,32338
4,13111,大田区,74263,38111,36152,502189,257854,244335,164067,72413,91654
4,13112,世田谷区,103436,52862,50574,629686,303992,325694,190088,80051,110037
4,13113,渋谷区,23379,11721,11658,164817,81353,83464,43206,17944,25262
4,13114,中野区,30070,15434,14636,244516,128816,115700,66736,28471,38265
4,13115,杉並区,59182,30148,29034,397156,196551,200605,120809,51111,69698
4,13116,豊島区,25912,13197,12715,212465,110201,102264,56267,24319,31948
4,13117,北区,36950,18903,18047,241021,124881,116140,84118,36202,47916
4,13118,荒川区,23413,11961,11452,150042,76997,73045,48823,21581,27242
4,13119,板橋区,57362,29471,27891,390005,196520,193485,131547,57238,74309
4,13120,練馬区,84321,43214,41107,497669,246842,250827,163937,70448,93489
4,13121,足立区,71368,36433,34935,458157,238607,219550,168751,74125,94626
4,13122,葛飾区,50270,25857,24413,306505,158363,148142,113141,49771,63370
4,13123,江戸川区,79465,40713,38752,467304,243082,224222,146801,65098,81703
1,13200,市部,477711,245110,232601,2640818,1349141,1291677,1075692,469754,605938
4,13201,八王子市,57309,29593,27716,345334,179901,165433,156440,69585,86855
4,13202,立川市,20941,10684,10257,119234,61599,57635,46082,19898,26184
4,13203,武蔵野市,17129,8826,8303,97269,47911,49358,33636,14173,19463
4,13204,三鷹市,22946,11762,11184,125205,62679,62526,42346,18193,24153
4,13205,青梅市,11860,6121,5739,75506,39949,35557,41739,18943,22796
4,13206,府中市,31080,15807,15273,170966,88447,82519,58952,26107,32845
4,13207,昭島市,13699,6967,6732,71459,37091,34368,30474,13428,17046
4,13208,調布市,28416,14463,13953,158533,79393,79140,52399,22450,29949
4,13209,町田市,48621,24979,23642,263857,134066,129791,117692,50945,66747
4,13210,小金井市,15670,8037,7633,82297,41527,40770,27207,12031,15176
4,13211,小平市,24653,12684,11969,125116,63272,61844,47030,20361,26669
4,13212,日野市,22300,11605,10695,119537,62166,57371,46640,20402,26238
4,13213,東村山市,16931,8741,8190,93544,47410,46134,41320,17721,23599
4,13214,国分寺市,16214,8419,7795,84643,42602,42041,28643,12418,16225
4,13215,国立市,8208,4244,3964,49231,24582,24649,18640,8028,10612
4,13218,福生市,5386,2710,2676,35595,18855,16740,15601,6990,8611
4,13219,狛江市,9484,4827,4657,52640,26234,26406,19924,8564,11360
4,13220,東大和市,9971,5098,4873,51451,26181,25270,23574,10368,13206
4,13221,清瀬市,8414,4247,4167,45771,22935,22836,20826,8888,11938
4,13222,東久留米市,13492,6845,6647,69238,35108,34130,33595,14385,19210
4,13223,武蔵村山市,8372,4289,4083,43190,22399,20791,19134,8484,10650
4,13224,多摩市,15176,7729,7447,89428,45795,43633,43480,18896,24584
4,13225,稲城市,12710,6517,6193,60414,31039,29375,20792,9358,11434
4,13227,羽村市,5871,3052,2819,33572,17699,15873,14683,6588,8095
4,13228,あきる野市,8662,4464,4198,46296,24123,22173,24286,10909,13377
4,13229,西東京市,24196,12400,11796,131492,66178,65314,50557,21641,28916
1,13550,町村部,8115,4189,3926,42338,22907,19431,27308,12412,14896
2,13300,郡部,5579,2863,2716,29972,16013,13959,18938,8516,10422
4,13303,瑞穂町,3236,1633,1603,19144,10253,8891,9633,4404,5229
4,13305,日の出町,1915,1015,900,8265,4334,3931,5881,2571,3310
4,13307,檜原村,125,65,60,768,424,344,1030,472,558
4,13308,奥多摩町,303,150,153,1795,1002,793,2394,1069,1325
2,13350,島部,2536,1326,1210,12366,6894,5472,8370,3896,4474
3,13360,大島支庁,1140,589,551,5853,3268,2585,4272,1944,2328
4,13361,大島町,640,342,298,3550,2020,1530,2623,1194,1429
4,13362,利島村,35,18,17,192,107,85,73,36,37
4,13363,新島村,231,108,123,1209,646,563,975,432,543
4,13364,神津島村,234,121,113,902,495,407,601,282,319
3,13380,三宅支庁,278,146,132,1302,774,528,933,471,462
4,13381,三宅村,226,118,108,1111,671,440,874,439,435
4,13382,御蔵島村,52,28,24,191,103,88,59,32,27
3,13400,八丈支庁,764,398,366,3510,1892,1618,2724,1222,1502
4,13401,八丈町,748,392,356,3405,1829,1576,2685,1198,1487
4,13402,青ヶ島村,16,6,10,105,63,42,39,24,15
3,13420,小笠原支庁,354,193,161,1701,960,741,441,259,182
4,13421,小笠原村,354,193,161,1701,960,741,441,259,182
,,,,,,,,,,,
住民基本台帳による東京都の世帯と人口　令和7年1月,,,,,,,,,,,
第３－１表　区市町村、年齢３区分別人口（人口総数）,,,,,,,,,,,
注）本表には年齢不詳者を含まない。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,
