year,zone,vac_rate,total_dwellings,vacant_dwellings,municipality_count,statInfId
2008,西多摩,0.113547,164690,18700,6,000007370942
2008,多摩中部,0.100853,1286030,129700,16,000007370942
2008,多摩東部,0.105659,510320,53920,6,000007370942
2008,区部西,0.107407,2460180,264240,10,000007370942
2008,都心,0.142766,597620,85320,5,000007370942
2008,城東,0.111973,1743270,195200,8,000007370942
2013,西多摩,0.117696,167890,19760,6,000028111878
2013,多摩中部,0.102146,1381260,141090,16,000028111878
2013,多摩東部,0.120552,542920,65450,6,000028111878
2013,区部西,0.111962,2655360,297300,10,000028111878
2013,都心,0.117128,622740,72940,5,000028111878
2013,城東,0.110283,1968390,217080,8,000028111878
2018,西多摩,0.108865,169660,18470,6,000031865669
2018,多摩中部,0.109633,1403590,153880,16,000031865669
2018,多摩東部,0.105513,555950,58660,6,000031865669
2018,区部西,0.101049,2786380,281560,10,000031865669
2018,都心,0.112633,692250,77970,5,000031865669
2018,城東,0.104559,2041330,213440,8,000031865669
2023,西多摩,0.110703,179850,19910,6,000040209842
2023,多摩中部,0.106614,1485260,158350,16,000040209842
2023,多摩東部,0.110769,594660,65870,6,000040209842
2023,区部西,0.109478,2963790,324470,10,000040209842
2023,都心,0.117001,737000,86230,5,000040209842
2023,城東,0.106264,2221270,236040,8,000040209842
